Date,User,Post ID,Content,Sentiment
2024-06-07 08:05:26,@user4845,2.8682378176858194e+18,Super happy na how Safricom handles network quality. Poa! 😊,positive
2025-07-01 11:07:57,@nairobi2254,6.908055706286388e+18,Safaricom billing is reliable and efficient. Love it omoka iko dem! 😁,positive
2025-07-16 11:11:33,@kenyan6244,3.2487090800908216e+18,Happy na my promotions from Safaricom. 5 stars bana!,positive
2024-06-12 19:08:15,@customer2367,9.932268344287574e+18,Safaricom innovations issues tena. Nimechoka na hii!,negative
2024-11-17 20:24:14,@customer9573,3.763268048902927e+18,Can't stand the high prices for innovations 😡,negative
2025-08-12 01:13:36,@customer9922,7.964810132414209e+18,How does Safricom's network quality work msee shida poa? 🤔,neutral
2024-06-08 13:41:00,@tech3615,1.365021301511227e+18,How to check billing balance? ℹ️,neutral
2024-03-15 20:12:45,@kenyan3702,3.569782557337292e+18,Worth every pesa afford,positive
2024-07-20 21:20:32,@nairobi9764,3.366388578238282e+18,SAFARICOM SUPPORT AVAILABILITY MSEE POA POA,neutral
2024-10-12 10:58:00,@user2857,2.513016003092103e+18,Can't stand the high prices for Bonga Points,negative
2024-01-17 19:10:20,@nairobi9094,1.3836381177049e+18,Shida ya bei ya mtandao fair,negative
2023-07-14 21:26:47,@kenyan3768,4.295894851051808e+18,customer service service ni pathetic. Fix your stuff Safaricom pesa! 👎,negative
2025-08-04 15:18:37,@tech5219,2.456081642273438e+18,How to check app usability balance? 🤔,neutral
2025-09-25 14:23:46,@kenyan1209,2.8726518019842524e+18,Siwezi afford bundles tena pesa 😡,negative
2024-01-16 16:48:47,@mombasa5062,8.369164077780532e+18,Good service today na Safaricom 👍,positive
2024-03-28 02:05:40,@kenyan6088,8.998929077237548e+18,"@SAFARICOM_CARE, INFO ON APP USABILITY TAFADHALI. ℹ️",neutral
2023-02-03 20:52:20,@nairobi5280,2.4082023992131855e+18,Safaricom network quality facts na figures.,neutral
2025-07-14 22:59:24,@nairobi1424,7.054652181395581e+18,How does Safaricom's innovations work msee haraka haraka? ℹ️,neutral
2023-03-27 12:53:59,@tech6186,3.151195000802965e+18,@SafaricomPLC has the best internet speed in Kenya. Thumbs up rada fair kupenda! 👏,positive
2025-12-26 01:14:57,@kenyan5268,9.464177200598364e+18,HOW TO CHECK COVERAGE BALANCE? 🤔,neutral
2024-10-08 17:32:55,@customer1976,8.812572895287724e+18,Safaricom Bonga Points facts na figures.,neutral
2023-04-26 13:11:14,@mombasa9464,3.2305952600798095e+18,Safaricom mtandao too costly msee sana tena 😥,negative
